player_name,player_position,height,nationality,date_of_birth,weight
Nacho Monreal,Defender,179cm,Spain,26/02/1986,
Etienne Capoue,Midfielder,189cm,France,11/07/1988,
Christian Walton,Goalkeeper,182cm,England,09/11/1995,
Yoane Wissa,Midfielder,176cm,DR Congo,03/09/1996,74
James Chester,Defender,180cm,Wales,23/01/1989,
Andy Carroll,Forward,193cm,England,06/01/1989,
Paris Maghoma,Midfielder,,England,08/05/2001,
Tariq Lamptey,Defender,,England,30/09/2000,
Haydon Roberts,Defender,,England,10/05/2002,
Luca Ashby-Hammond,Goalkeeper,,England,25/03/2001,
Tosin Adarabioyo,Defender,196cm,England,24/09/1997,
Yerry Mina,Defender,195cm,Colombia,23/09/1994,94
Mikkel Diskerud,Midfielder,184cm,United States,02/10/1990,
Nathan Redmond,Midfielder,173cm,England,06/03/1994,69
Jack Payne,Midfielder,165cm,England,25/10/1994,
Morgan Boyes,Defender,177cm,Wales,22/04/2001,
HÃ©lder Costa,Forward,178cm,Angola,12/01/1994,
Ben Osborn,Midfielder,176cm,England,05/08/1994,
Akin Famewo,Defender,187cm,England,09/11/1998,
Cenk Tosun,Forward,183cm,Turkey,07/06/1991,78
Diogo Jota,Forward,178cm,Portugal,04/12/1996,68
Andi Zeqiri,Forward,181cm,Switzerland,22/06/1999,
Dejan Kulusevski,Midfielder,186cm,Sweden,25/04/2000,80
Morgan Schneiderlin,Midfielder,181cm,France,08/11/1989,
Adam Lallana,Midfielder,172cm,England,10/05/1988,73
Herbie Kane,Midfielder,177cm,England,23/11/1998,
TrÃ©zÃ©guet,Midfielder,180cm,Egypt,01/10/1994,
Steve Cook,Defender,185cm,England,19/04/1991,
John-Kymani Gordon,Forward,,England,13/02/2003,
Maximilian Kilman,Defender,,England,23/05/1997,
Isaac Mabaya,Midfielder,,England,22/09/2004,
VÃ­tezslav Jaros,Goalkeeper,,Czech Republic,23/07/2001,
Ki Sung-Yeung,Midfielder,189cm,South Korea,24/01/1989,
Mason Holgate,Defender,184cm,England,22/10/1996,63
Alexander Tettey,Midfielder,180cm,Norway,04/04/1986,
Ben Johnson,Defender,175cm,England,24/01/2000,67
Mihai-Alexandru Dobre,Midfielder,185cm,Romania,30/08/1998,
Melvin Sitti,Midfielder,182cm,France,14/02/2000,
Andy Lonergan,Goalkeeper,192cm,England,19/10/1983,87
Lucas De Bolle,Midfielder,,Scotland,22/10/2002,
Jonathan Rowe,Forward,173cm,England,30/04/2003,
Jake Vokins,Defender,180cm,England,17/03/2000,
Michael Craig,Midfielder,,Scotland,16/04/2003,
Abdul Rahman Baba,Defender,180cm,Ghana,02/07/1994,
Taiwo Awoniyi,Forward,183cm,Nigeria,12/08/1997,
Davide Zappacosta,Defender,185cm,Italy,11/06/1992,
Pedro Porro,Defender,173cm,Spain,13/09/1999,
Matthew Kennedy,Midfielder,175cm,Northern Ireland,01/11/1994,
Romaine Mundle,Midfielder,,England,24/04/2003,
Nuno Tavares,Defender,183cm,Portugal,26/01/2000,75
Luke Bolton,Midfielder,174cm,England,07/10/1999,
Ellis Simms,Forward,,England,05/01/2001,
TiemouÃ© Bakayoko,Midfielder,185cm,France,17/08/1994,
Sheyi Ojo,Midfielder,177cm,England,19/06/1997,
Jake Livermore,Midfielder,181cm,England,14/11/1989,
Anthony Pilkington,Midfielder,180cm,Ireland,06/06/1988,
Ross McCormack,Forward,175cm,Scotland,18/08/1986,
Willy Boly,Defender,195cm,Cote Dâ€™Ivoire,03/02/1991,92
Jeff Hendrick,Midfielder,185cm,Ireland,31/01/1992,
Elliot Anderson,Midfielder,,Scotland,06/11/2002,
Theo Corbeanu,Forward,190cm,Canada,17/05/2002,
Pape SouarÃ©,Defender,178cm,Senegal,06/06/1990,
Kieron Freeman,Defender,178cm,Wales,21/03/1992,
Odsonne Ã‰douard,Forward,187cm,France,16/01/1998,83
Wes Morgan,Defender,186cm,Jamaica,21/01/1984,
Ben Gibson,Defender,185cm,England,15/01/1993,78
Tawanda Maswanhise,Midfielder,,England,20/11/2002,
James Hillson,Goalkeeper,,England,14/01/2001,
Jordy Clasie,Midfielder,169cm,Netherlands,27/06/1991,
Jefferson Lerma,Midfielder,179cm,Colombia,25/10/1994,
Robbie Burton,Midfielder,176cm,Wales,26/12/1999,
Will Hughes,Midfielder,185cm,England,17/04/1995,74
Ander Herrera,Midfielder,182cm,Spain,14/08/1989,
Ross Barkley,Midfielder,189cm,England,05/12/1993,76
Rob Holding,Defender,189cm,England,20/09/1995,75
Phil Jagielka,Defender,180cm,England,17/08/1982,
Teddy Sharman-Lowe,Goalkeeper,189cm,England,30/03/2003,73
Matt Ritchie,Midfielder,172cm,Scotland,10/09/1989,76
Ferran Torres,Forward,184cm,Spain,29/02/2000,
Brad Smith,Defender,178cm,Australia,09/04/1994,
Meritan Shabani,Midfielder,185cm,Germany,15/03/1999,
Allan,Midfielder,173cm,Brazil,08/01/1991,73
Gavin Kilkenny,Midfielder,,Ireland,01/02/2000,
Tayo Edun,Midfielder,170cm,England,14/05/1998,
Louie Moulden,Goalkeeper,,England,06/01/2002,
Shane Duffy,Defender,193cm,Ireland,01/01/1992,76
Tashan Oakley-Boothe,Midfielder,182cm,England,14/02/2000,
Kelechi Iheanacho,Forward,185cm,Nigeria,03/10/1996,82
Jazz Richards,Defender,185cm,Wales,12/04/1991,
Arthur Okonkwo,Goalkeeper,198cm,England,09/09/2001,
Michal Zyro,Forward,187cm,Poland,20/09/1992,
Ryan Alebiosu,Defender,,England,17/12/2001,
Alfie McCalmont,Midfielder,,Northern Ireland,25/03/2000,
Gabriel Jesus,Forward,175cm,Brazil,03/04/1997,73
Nikola Tavares,Defender,,Croatia,17/01/1999,
Bradley Collins,Goalkeeper,184cm,England,18/02/1997,
Ollie Watkins,Forward,180cm,England,30/12/1995,70
Jayden Harris,Midfielder,,England,04/09/1999,
Per Mertesacker,Defender,198cm,Germany,29/09/1984,
Okay Yokuslu,Midfielder,190cm,Turkey,09/03/1994,
Jean-Philippe Gbamin,Midfielder,186cm,Cote Dâ€™Ivoire,25/09/1995,
Thiago,Midfielder,174cm,Spain,11/04/1991,70
Pablo Moreno,Forward,174cm,Spain,03/05/2002,
Regan Slater,Midfielder,173cm,England,11/09/1999,
Aaron Tshibola,Midfielder,190cm,DR Congo,02/01/1995,
Richarlison,Forward,184cm,Brazil,10/05/1997,83
Richairo Zivkovic,Forward,187cm,Netherlands,05/09/1996,
Oliver Skipp,Midfielder,175cm,England,16/09/2000,70
Eberechi Eze,Midfielder,,England,29/06/1998,
Kayky,Forward,175cm,Brazil,11/06/2003,68
Andros Townsend,Midfielder,181cm,England,16/07/1991,77
Willian,Forward,175cm,Brazil,09/08/1988,
Mathias Normann,Midfielder,179cm,Norway,28/05/1996,75
Philip Billing,Midfielder,193cm,Denmark,11/06/1996,
Malachi Fagan-Walcott,Defender,,England,11/03/2002,
Jon McCracken,Goalkeeper,,Scotland,24/05/2000,
Jamal Baptiste,Defender,,England,11/11/2003,
Stephen Duke-McKenna,Midfielder,,Guyana,17/08/2000,
Sean Raggett,Defender,181cm,England,17/04/1993,
George Marsh,Midfielder,178cm,England,05/11/1998,
Marcus Bettinelli,Goalkeeper,194cm,England,24/05/1992,82
Jack Bearne,Midfielder,,England,15/09/2001,
Charlie Daniels,Defender,178cm,England,07/09/1986,
Leighton Clarkson,Midfielder,175cm,England,19/10/2001,
JÃ©rÃ©my Pied,Defender,174cm,France,23/02/1989,
Taylor Jay-Hart,Midfielder,179cm,England,18/12/2003,
Nathan Baxter,Goalkeeper,191cm,England,08/11/1998,
Luca de la Torre,Midfielder,177cm,United States,23/05/1998,
Luke Freeman,Midfielder,181cm,England,22/03/1992,
Jack Wilshere,Midfielder,172cm,England,01/01/1992,
GaÃ«tan Bong,Defender,187cm,Cameroon,25/04/1988,
Yan Valery,Defender,180cm,France,22/02/1999,85
Tommy Elphick,Defender,180cm,England,07/09/1987,
Zan-Luk Leban,Goalkeeper,,Slovenia,15/12/2002,
Martin Cranie,Defender,183cm,England,26/09/1986,
