player_name,player_position,height,nationality,date_of_birth,weight
Sam Surridge,Forward,191cm,England,28/07/1998,
Beni Baningime,Midfielder,178cm,DR Congo,09/09/1998,
Erik Palmer-Brown,Defender,187cm,United States,24/04/1997,
Robert Elliot,Goalkeeper,190cm,Ireland,30/04/1986,94
Kamil Grosicki,Midfielder,180cm,Poland,08/06/1988,
Kaylen Hinds,Forward,179cm,England,28/01/1998,
Kane Crichlow,Midfielder,,Bermuda,21/08/2000,
Ilkay GÃ¼ndogan,Midfielder,180cm,Germany,24/10/1990,80
Max Woltman,Forward,,England,20/08/2003,
Leo Fuhr Hjelde,Defender,188cm,Norway,26/08/2003,
Bailey Peacock-Farrell,Goalkeeper,193cm,Northern Ireland,29/10/1996,
Jacob SÃ¸rensen,Midfielder,,Denmark,03/03/1998,
Arnau Puigmal,Midfielder,173cm,Spain,10/01/2001,
Robert Snodgrass,Midfielder,182cm,Scotland,07/09/1987,
Vladimir Coufal,Defender,179cm,Czech Republic,22/08/1992,76
Lewis Dunk,Defender,192cm,England,21/11/1991,88
MattÃ©o Guendouzi,Midfielder,185cm,France,14/04/1999,
Alexander Iwobi,Forward,180cm,Nigeria,03/05/1996,75
Reiss Nelson,Forward,175cm,England,10/12/1999,
Romain SaÃ¯ss,Midfielder,190cm,Morocco,26/03/1990,80
Robert SÃ¡nchez,Goalkeeper,197cm,Spain,18/11/1997,90
Adam Legzdins,Goalkeeper,190cm,England,28/11/1986,
Rocky Bushiri,Defender,186cm,Belgium,30/11/1999,
Kyle John,Defender,,England,13/02/2001,
Jonathan Kodjia,Forward,191cm,Cote Dâ€™Ivoire,22/10/1989,
John McGinn,Midfielder,178cm,Scotland,18/10/1994,68
Ben Chilwell,Defender,178cm,England,21/12/1996,77
Hayden Lindley,Midfielder,,England,02/09/2002,
Daryl Janmaat,Defender,185cm,Netherlands,22/07/1989,
Pedro Pereira,Midfielder,173cm,Portugal,28/06/1998,
Yohan Cabaye,Midfielder,174cm,France,14/01/1986,
Maksim Paskotsi,Defender,,Estonia,19/01/2003,
Rabbi Matondo,Forward,175cm,Wales,09/09/2000,
Oliver Casey,Defender,188cm,England,14/10/2000,
Josh Onomah,Midfielder,185cm,England,27/04/1997,
NÃ©lson Oliveira,Forward,186cm,Portugal,08/08/1991,
Henry Wise,Midfielder,174cm,England,01/01/2000,
Ismaila Coulibaly,Midfielder,183cm,Mali,25/12/2000,
Tim Iroegbunam,Midfielder,,England,30/06/2003,
Edo Kayembe,Midfielder,183cm,DR Congo,03/06/1998,77
FrÃ©dÃ©ric Gounongbe,Forward,191cm,Benin,01/05/1988,
Rui Fonte,Forward,179cm,Portugal,23/04/1990,
Bartosz Kapustka,Midfielder,179cm,Poland,23/12/1996,
Scott Carson,Goalkeeper,190cm,England,03/09/1985,76
Andrew Moran,Midfielder,,Ireland,15/10/2003,
Michael Olise,Midfielder,176cm,France,12/12/2001,
Joshua Sargent,Forward,185cm,United States,20/02/2000,79
Adam Masina,Defender,189cm,Morocco,02/01/1994,78
Matija Sarkic,Goalkeeper,195cm,Montenegro,23/07/1997,
AdriÃ¡n BernabÃ©,Midfielder,170cm,Spain,26/05/2001,
Emiliano Marcondes,Midfielder,182cm,Denmark,09/03/1995,
Liam Delap,Forward,,England,08/02/2003,
Cyrus Christie,Defender,188cm,Ireland,30/09/1992,
Akos Onodi,Goalkeeper,,Hungary,02/09/2001,
George Harmon,Defender,,England,08/12/2000,
Anwar El Ghazi,Midfielder,188cm,Netherlands,03/05/1995,90
Shani Tarashaj,Forward,176cm,Switzerland,07/02/1995,
Anthony Gordon,Forward,,England,24/02/2001,
Jake Doyle-Hayes,Midfielder,,Ireland,30/12/1998,
Elliott Moore,Defender,,England,16/03/1997,
Rhoys Wiggins,Defender,173cm,Wales,04/11/1987,
BjÃ¶rn Engels,Defender,193cm,Belgium,15/09/1994,
Edward Rowe,Midfielder,,England,17/10/2003,
Daniel Chesters,Midfielder,,England,04/04/2002,
Yoshinori Muto,Forward,179cm,Japan,15/07/1992,
Gregory Halford,Defender,193cm,England,08/12/1984,
Tyler Onyango,Midfielder,190cm,England,04/03/2003,
Martell Taylor-Crossdale,Midfielder,,England,26/12/1999,
Jason Denayer,Defender,184cm,Belgium,28/06/1995,
Taylor Gardner-Hickman,Defender,,England,30/12/2001,
Conor Gallagher,Midfielder,182cm,England,06/02/2000,
Jan Zamb&#367;rek,Midfielder,,Czech Republic,,NULL
LoÃ¯c Damour,Midfielder,180cm,France,08/01/1991,
Anthony Elanga,Forward,178cm,Sweden,27/04/2002,
Lucas Moura,Forward,172cm,Brazil,13/08/1992,72
Birkir Bjarnason,Midfielder,183cm,Iceland,27/05/1988,
Taylor Harwood-Bellis,Defender,188cm,England,30/01/2002,
John Fleck,Midfielder,170cm,Scotland,24/08/1991,
Carney Chukwuemeka,Midfielder,,England,20/10/2003,
James Trafford,Goalkeeper,,England,10/10/2002,
Timi Odusina,Defender,,England,28/10/1999,
Elliot Watt,Midfielder,175cm,Scotland,11/03/2000,
Harry McKirdy,Forward,175cm,England,29/03/1997,
Miguel AlmirÃ³n,Midfielder,174cm,Paraguay,10/02/1994,70
Hugo Lloris,Goalkeeper,188cm,France,26/12/1986,82
Lewis Bate,Midfielder,,England,28/10/2002,
Xavier Mbuyamba,Defender,,Netherlands,31/12/2001,
HÃ¥vard Nordtveit,Defender,188cm,Norway,21/06/1990,
Alpha Richard Dionkou,Defender,183cm,Senegal,10/10/2001,
Nikola Vlasic,Midfielder,178cm,Croatia,04/10/1997,72
Luke Ayling,Defender,185cm,England,25/08/1991,72
Sullay Kaikai,Forward,182cm,Sierra Leone,26/08/1995,
Luis DÃ­az,Forward,178cm,Colombia,13/01/1997,65
Ethan Ampadu,Defender,183cm,Wales,14/09/2000,
Niall Huggins,Defender,,Wales,18/12/2000,
Gabriel MagalhÃ£es,Defender,190cm,Brazil,19/12/1997,78
Kean Bryan,Defender,185cm,England,01/11/1996,
Matthew Cox,Goalkeeper,,England,02/05/2003,
Josh Sims,Midfielder,174cm,England,28/03/1997,
Jack Rodwell,Midfielder,188cm,England,11/03/1991,
Donny van de Beek,Midfielder,184cm,Netherlands,18/04/1997,76
Lucas Torreira,Midfielder,168cm,Uruguay,11/02/1996,
Conor Masterson,Defender,,Ireland,08/09/1998,
Adam Webster,Defender,191cm,England,04/01/1995,75
Joshua Wilson-Esbrand,Defender,,England,26/12/2002,
Hamza Choudhury,Midfielder,178cm,England,01/10/1997,64
Jordan Ayew,Forward,182cm,Ghana,11/09/1991,80
Japhet Tanganga,Defender,184cm,England,31/03/1999,76
Jay Stansfield,Forward,,England,24/11/2002,
Mikki van Sas,Goalkeeper,,Netherlands,29/02/2004,
Bobby De Cordova-Reid,Forward,170cm,Jamaica,02/02/1993,
Kaine Hayden,Defender,,England,23/10/2002,
Josh Cullen,Midfielder,175cm,Ireland,07/04/1996,
Vlad Dragomir,Midfielder,178cm,Romania,24/04/1999,
Nampalys Mendy,Midfielder,167cm,Senegal,23/06/1992,73
Conor Washington,Forward,178cm,Northern Ireland,18/05/1992,
Callum Hudson-Odoi,Forward,182cm,England,07/11/2000,76
Daniel Barden,Goalkeeper,195cm,Wales,02/01/2001,
Mile Jedinak,Midfielder,189cm,Australia,03/08/1984,
Romain Perraud,Defender,173cm,France,22/09/1997,68
Elias Sorensen,Forward,,Denmark,18/09/1999,
Calum Chambers,Defender,182cm,England,20/01/1995,66
Yaser Asprilla,Midfielder,185cm,Colombia,19/11/2003,
Eldin Jakupovic,Goalkeeper,191cm,Switzerland,02/10/1984,85
Ralf FÃ¤hrmann,Goalkeeper,197cm,Germany,27/09/1988,
Jamie Sterry,Defender,180cm,England,21/11/1995,
Pablo Fornals,Midfielder,178cm,Spain,22/02/1996,67
Moritz Jenz,Defender,190cm,Germany,30/04/1999,
Matthew Craig,Midfielder,,Scotland,16/04/2003,
Samir Carruthers,Midfielder,173cm,Ireland,04/04/1993,
Viktor GyÃ¶keres,Forward,187cm,Sweden,04/06/1998,
Dylan Williams,Defender,,England,13/09/2003,
Filip Benkovic,Defender,194cm,Croatia,13/07/1997,
Harry Burgoyne,Goalkeeper,195cm,England,28/12/1996,
Tahith Chong,Forward,185cm,Netherlands,04/12/1999,
Asmir Begovic,Goalkeeper,199cm,Bosnia & Herzegovina,20/06/1987,101
Jack Spong,Midfielder,,England,04/02/2002,
Brandon Austin,Goalkeeper,188cm,England,07/01/1999,82
Kaoru Mitoma,Forward,178cm,Japan,20/05/1997,
Mateusz Klich,Midfielder,183cm,Poland,13/06/1990,84
Daniel Langley,Goalkeeper,,England,28/12/2000,
Tyler Morton,Midfielder,,England,31/10/2002,
Ahmed Hegazi,Defender,193cm,Egypt,25/01/1991,
William Troost-Ekong,Defender,191cm,Nigeria,01/09/1993,82
Edimilson Fernandes,Midfielder,187cm,Switzerland,15/04/1996,
Olivier Giroud,Forward,192cm,France,30/09/1986,
Nathan Broadhead,Forward,178cm,Wales,05/04/1998,
Mark Gillespie,Goalkeeper,192cm,England,27/03/1992,83
Jack Bodenham,Defender,,Wales,29/09/1999,
George Broadbent,Midfielder,188cm,England,30/09/2000,
Gedson Fernandes,Midfielder,182cm,Portugal,09/01/1999,
George McEachran,Midfielder,172cm,England,30/08/2000,
Andrew Crofts,Midfielder,175cm,Wales,29/05/1984,
Reece McAlear,Midfielder,185cm,Scotland,12/02/2002,
Ãlvaro Morata,Forward,190cm,Spain,23/10/1992,
Luis Longstaff,Midfielder,168cm,England,24/02/2001,
Chris Smalling,Defender,194cm,England,22/11/1989,
Freddie Woodman,Goalkeeper,188cm,England,04/03/1997,
Lee Peltier,Defender,178cm,England,11/12/1986,
Dexter Lembikisa,Defender,,England,04/11/2003,
Domingos Quina,Midfielder,179cm,Portugal,18/11/1999,
Pedro,Forward,169cm,Spain,28/07/1987,
Jack Simpson,Defender,178cm,England,18/12/1996,
Mauro ZÃ¡rate,Forward,176cm,Argentina,18/03/1987,
Bobby Duncan,Forward,,England,26/06/2001,
Junior Hoilett,Midfielder,173cm,Canada,05/06/1990,
Ibrahim Amadou,Midfielder,183cm,France,06/04/1993,
Brooklyn Lyons-Foster,Defender,,England,01/12/2000,
Lucas PÃ©rez,Forward,180cm,Spain,10/09/1988,
Ali Koiki,Defender,,England,22/08/1999,
Jack Cork,Midfielder,183cm,England,25/06/1989,70
LÃ©o Bonatini,Forward,185cm,Brazil,28/03/1994,
Fernando Llorente,Forward,193cm,Spain,26/02/1985,
Chancel Mbemba,Defender,182cm,DR Congo,08/08/1994,
Junior Stanislas,Midfielder,183cm,England,26/11/1989,
Darnell Furlong,Defender,183cm,England,31/10/1995,
Kris Moore,Defender,,England,13/11/2003,
Daniel Adshead,Midfielder,167cm,England,02/09/2001,
Patrick van Aanholt,Defender,176cm,Netherlands,29/08/1990,
Tyrick Mitchell,Defender,,England,01/09/1999,
Aaron Connolly,Forward,,Ireland,28/01/2000,
Paul Pogba,Midfielder,191cm,France,15/03/1993,84
Tom Smith,Goalkeeper,,England,30/01/2002,
James McArthur,Midfielder,178cm,Scotland,07/10/1987,75
Alexandre Jankewitz,Midfielder,179cm,Switzerland,25/12/2001,
Ian Poveda-Ocampo,Forward,165cm,England,09/02/2000,
Kieran Gibbs,Defender,181cm,England,26/09/1989,
Dominic Calvert-Lewin,Forward,187cm,England,16/03/1997,71
Kevin Long,Defender,188cm,Ireland,18/08/1990,83
Tomas Soucek,Midfielder,192cm,Czech Republic,27/02/1995,86
Kenedy,Forward,182cm,Brazil,08/02/1996,77
Roberto Pereyra,Midfielder,182cm,Argentina,07/01/1991,
Nathaniel Shio Hong Wan,Midfielder,,England,,
Admiral Muskwe,Forward,183cm,Zimbabwe,21/08/1998,
Dan Burn,Defender,198cm,England,09/05/1992,87
Christos Tzolis,Forward,184cm,Greece,30/01/2002,
Joe Rodon,Defender,180cm,Wales,22/10/1997,70
Eliaquim Mangala,Defender,188cm,France,13/02/1991,
Zach Awe,Defender,,England,09/01/2004,
Cauley Woodrow,Forward,184cm,England,02/12/1994,
Saul Shotton,Defender,184cm,England,10/11/2000,
Paul Coutts,Midfielder,183cm,Scotland,22/07/1988,
Joshua King,Forward,180cm,Norway,15/01/1992,74
Tim Krul,Goalkeeper,188cm,Netherlands,03/04/1988,84
AngeliÃ±o,Defender,175cm,Spain,04/01/1997,
Matthew Lowton,Defender,180cm,England,09/06/1989,78
Neil Etheridge,Goalkeeper,188cm,Philippines,07/02/1990,
Uwe HÃ¼nemeier,Defender,189cm,Germany,09/01/1986,
Danny Batth,Defender,191cm,England,21/09/1990,
Kaine Hayden,Midfielder,,England,25/05/2003,
Jack Jenkins,Midfielder,,England,23/03/2002,
Daniel Arzani,Forward,171cm,Australia,04/01/1999,
Emil Krafth,Defender,184cm,Sweden,02/08/1994,83
Fred,Midfielder,169cm,Brazil,05/03/1993,64
Daniel Iversen,Goalkeeper,191cm,Denmark,19/07/1997,
Ciaron Brown,Defender,185cm,Northern Ireland,14/01/1998,
Owen Otasowie,Midfielder,191cm,United States,06/01/2001,
Ryan Edmondson,Forward,,England,20/05/2001,
Jan Vertonghen,Defender,189cm,Belgium,24/04/1987,
Raheem Sterling,Forward,170cm,England,08/12/1994,69
Manolo Gabbiadini,Forward,181cm,Italy,26/11/1991,
Patson Daka,Forward,183cm,Zambia,09/10/1998,71
Reece Burke,Defender,189cm,England,02/09/1996,
Callum O'Hare,Midfielder,175cm,England,01/05/1998,
Serge Aurier,Defender,176cm,Cote Dâ€™Ivoire,24/12/1992,
Pascal GroÃŸ,Midfielder,181cm,Germany,15/06/1991,78
Owen Dodgson,Defender,,England,19/03/2003,
Ivan Toney,Forward,179cm,England,16/03/1996,70
Cheikh Diaby,Forward,,France,07/03/2000,
Ozan Kabak,Defender,186cm,Turkey,25/03/2000,86
Michail Antonio,Forward,180cm,Jamaica,28/03/1990,82
Bright Enobakhare,Forward,178cm,Nigeria,08/02/1998,
Cameron Coxe,Defender,185cm,Wales,18/12/1998,
Erik Durm,Defender,182cm,Germany,12/05/1992,
Chris Wood,Forward,191cm,New Zealand,07/12/1991,81
Kamil Miazek,Goalkeeper,192cm,Poland,15/08/1996,
Lazar Markovic,Midfielder,175cm,Serbia,02/03/1994,
Marvin Zeegelaar,Defender,186cm,Netherlands,12/08/1990,
Willian JosÃ©,Forward,189cm,Brazil,23/11/1991,
Ben Wilmot,Defender,188cm,England,04/11/1999,
Michel Vorm,Goalkeeper,183cm,Netherlands,20/10/1983,
Moussa Djenepo,Midfielder,177cm,Mali,15/06/1998,65
Bruno Fernandes,Midfielder,179cm,Portugal,08/09/1994,69
Jay Rodriguez,Forward,185cm,England,29/07/1989,84
Glenn Murray,Forward,183cm,England,25/09/1983,
Laurens De Bock,Defender,179cm,Belgium,07/11/1992,74
Thiago Silva,Defender,183cm,Brazil,22/09/1984,79
Che Adams,Forward,175cm,Scotland,13/07/1996,70
James Balagizi,Midfielder,,England,20/09/2003,
Lucas Digne,Defender,178cm,France,20/07/1993,74
Jan Bednarek,Defender,189cm,Poland,12/04/1996,77
Joshua Bohui,Forward,180cm,England,03/03/1999,
Lewis Hall,Midfielder,,England,08/09/2004,
Marek RodÃ¡k,Goalkeeper,194cm,Slovakia,13/12/1996,
James Tarkowski,Defender,185cm,England,19/11/1992,81
Henry Onyekuru,Forward,175cm,Nigeria,05/06/1997,
Taye Ashby-Hammond,Goalkeeper,186cm,England,21/03/1999,
Morgan Rogers,Forward,,England,26/07/2002,
Przemyslaw Placheta,Midfielder,177cm,Poland,23/03/1998,72
Dennis Cirkin,Defender,181cm,England,06/04/2002,
Harry Maguire,Defender,194cm,England,05/03/1993,100
Benik Afobe,Forward,183cm,DR Congo,12/02/1993,
Adrien Silva,Midfielder,171cm,Portugal,15/03/1989,
Jack Stacey,Defender,180cm,England,06/04/1996,
Marc Navarro,Defender,188cm,Spain,02/07/1995,
Alexis Mac Allister,Midfielder,176cm,Argentina,24/12/1998,72
Matteo Darmian,Defender,182cm,Italy,02/12/1989,
Oladapo Afolayan,Forward,180cm,England,11/09/1997,
Connor Goldson,Defender,191cm,England,18/12/1992,
Romelu Lukaku,Forward,190cm,Belgium,13/05/1993,93
Ethan Ebanks-Landell,Defender,188cm,England,16/12/1992,
Dejan Iliev,Goalkeeper,195cm,North Macedonia,25/02/1995,
Dominic Solanke,Forward,187cm,England,14/09/1997,
Callum Wilson,Forward,180cm,England,27/02/1992,66
Lloyd Kelly,Defender,178cm,England,06/10/1998,
Luke Cundle,Midfielder,,England,26/04/2002,
Matt Macey,Goalkeeper,205cm,England,09/09/1994,
Kelland Watts,Defender,,England,03/11/1999,
Jonas LÃ¶ssl,Goalkeeper,195cm,Denmark,01/02/1989,89
Sam Byram,Defender,180cm,England,16/09/1993,72
Achraf Lazaar,Defender,184cm,Morocco,22/01/1992,
Xavi QuintillÃ¡,Defender,183cm,Spain,23/08/1996,
Ramiro Mori,Defender,186cm,Argentina,05/03/1991,
Mousa DembÃ©lÃ©,Midfielder,185cm,Belgium,16/07/1987,
Nick Pope,Goalkeeper,191cm,England,19/04/1992,76
Romaric Yapi,Defender,178cm,France,13/07/2000,
Tommy Doyle,Midfielder,,England,17/10/2001,
Rushian Marcus Amari Hepburn-Murphy,Forward,173cm,England,28/08/1998,
Eddie Nketiah,Forward,175cm,England,30/05/1999,72
Mads Bech SÃ¸rensen,Defender,189cm,Denmark,07/01/1999,92
Prince Alban OnianguÃ©,Midfielder,190cm,Congo,04/11/1988,
Moritz Leitner,Midfielder,174cm,Germany,08/12/1992,
Jetro Willems,Defender,169cm,Netherlands,30/03/1994,
Renat Dadashov,Forward,186cm,Azerbaijan,17/05/1999,
Trent Alexander-Arnold,Defender,175cm,England,07/10/1998,69
Cristiano Ronaldo,Forward,187cm,Portugal,05/02/1985,83
Timothy Castagne,Defender,185cm,Belgium,05/12/1995,80
Emiliano Sala,Forward,187cm,Argentina,31/10/1990,
Emile Smith Rowe,Midfielder,182cm,England,28/07/2000,79
Jordan Henderson,Midfielder,182cm,England,17/06/1990,67
Rarmani Edmonds-Green,Defender,,England,14/01/1999,
Ntumba Massanka,Midfielder,191cm,England,30/11/1996,
Pascal Struijk,Defender,190cm,Netherlands,11/08/1999,
BenjamÃ­n GarrÃ©,Midfielder,172cm,Argentina,11/07/2000,
Toby Alderweireld,Defender,186cm,Belgium,02/03/1989,
Denis Odoi,Defender,178cm,Ghana,27/05/1988,
Boubakary SoumarÃ©,Midfielder,188cm,France,27/02/1999,70
Kevin McDonald,Midfielder,192cm,Scotland,04/11/1988,
Lukasz Fabianski,Goalkeeper,190cm,Poland,18/04/1985,83
RomÃ©o Lavia,Midfielder,,Belgium,06/01/2004,
JoÃ£o MÃ¡rio,Midfielder,179cm,Portugal,19/01/1993,
Alexandre Lacazette,Forward,175cm,France,28/05/1991,73
Joe Mason,Forward,178cm,England,13/05/1991,
Christian Saydee,Forward,181cm,England,10/05/2002,
Davy PrÃ¶pper,Midfielder,185cm,Netherlands,02/09/1991,
Marcelo Flores,Midfielder,,Mexico,01/10/2003,
Tom Trybull,Midfielder,181cm,Germany,09/03/1993,
Nicolas Nkoulou,Defender,184cm,Cameroon,27/03/1990,77
SaÃºl Ã‘Ã­guez,Midfielder,184cm,Spain,21/11/1994,76
Ben Woodburn,Midfielder,174cm,Wales,15/10/1999,
Jamaal Lascelles,Defender,188cm,England,11/11/1993,89
Angus Gunn,Goalkeeper,196cm,England,22/01/1996,77
FabiÃ¡n Balbuena,Defender,188cm,Paraguay,23/08/1991,
Patrick Cutrone,Forward,183cm,Italy,03/01/1998,
Marcus Rashford,Forward,180cm,England,31/10/1997,70
JoÃ«l Veltman,Defender,184cm,Netherlands,15/01/1992,75
Ahmed Musa,Forward,171cm,Nigeria,14/10/1992,
Yan Couto,Defender,169cm,Brazil,03/06/2002,
Will Collar,Midfielder,181cm,England,03/02/1997,
Marlon Fossey,Defender,180cm,United States,09/09/1998,
Timothy Fosu-Mensah,Defender,185cm,Netherlands,02/01/1998,
Moussa Sissoko,Midfielder,187cm,France,16/08/1989,83
Sander Berge,Midfielder,195cm,Norway,14/02/1998,
Pierre Ekwah,Defender,,France,15/01/2002,
Fabri,Goalkeeper,184cm,Spain,31/12/1987,
Mohamed DiamÃ©,Midfielder,184cm,Senegal,14/06/1987,
Mateusz Hewelt,Goalkeeper,186cm,Poland,23/09/1996,
Marcos Alonso,Defender,188cm,Spain,28/12/1990,84
Nemanja Matic,Midfielder,194cm,Serbia,01/08/1988,85
Kevin Mirallas,Forward,182cm,Belgium,05/10/1987,
Troy Deeney,Forward,183cm,England,29/06/1988,
Joseph Willock,Midfielder,179cm,England,20/08/1999,71
Luke Mbete,Defender,,England,18/09/2003,
Iliman Ndiaye,Midfielder,180cm,France,06/03/2000,
RÃºben Neves,Midfielder,180cm,Portugal,13/03/1997,80
Max Thompson,Forward,,England,09/02/2002,
Jerome Sinclair,Forward,173cm,England,20/09/1996,
Sol Bamba,Defender,190cm,Cote Dâ€™Ivoire,13/01/1985,
Jayson Molumby,Midfielder,,Ireland,06/08/1999,
Hwang Hee-Chan,Forward,177cm,South Korea,26/01/1996,77
Harry Clarke,Defender,,England,02/03/2001,
Patrik Gunnarsson,Goalkeeper,190cm,Iceland,15/11/2000,84
Isaac Hayden,Midfielder,185cm,England,22/03/1995,79
Martin DÃºbravka,Goalkeeper,190cm,Slovakia,15/01/1989,83
Matej KovÃ¡&#345;,Goalkeeper,,Czech Republic,,NULL
Roberto JimÃ©nez,Goalkeeper,192cm,Spain,10/02/1986,
Bruno Ecuele Manga,Defender,186cm,Gabon,16/07/1988,
Peter Etebo,Midfielder,172cm,Nigeria,09/11/1995,70
Harry Wilson,Midfielder,173cm,Wales,22/03/1997,
Layton Stewart,Forward,,England,03/09/2002,
Bernardo Rosa,Midfielder,,Brazil,20/09/2000,
Danny Ballard,Defender,187cm,Northern Ireland,22/09/1999,
Craig Bryson,Midfielder,170cm,Scotland,06/11/1986,
Kyle Bartley,Defender,185cm,England,22/05/1991,
Archie Mair,Goalkeeper,198cm,Scotland,10/02/2001,
Lewis O'Brien,Midfielder,173cm,England,14/10/1998,
Rodrigo Bentancur,Midfielder,187cm,Uruguay,25/06/1997,72
Mathias Jensen,Midfielder,180cm,Denmark,01/01/1996,68
Jiri Skalak,Midfielder,177cm,Czech Republic,12/03/1992,
AndrÃ© SchÃ¼rrle,Midfielder,184cm,Germany,06/11/1990,
Daniel Barlaser,Midfielder,184cm,England,18/01/1997,
Bryan Mbeumo,Midfielder,171cm,France,07/08/1999,
Jonjo Shelvey,Midfielder,184cm,England,27/02/1992,80
Jonathan De Bie,Goalkeeper,,Belgium,28/05/2000,
John Ruddy,Goalkeeper,193cm,England,24/10/1986,97
Harrison Sohna,Midfielder,,England,01/07/2002,
Antonee Robinson,Defender,183cm,United States,08/08/1997,
Alex Cochrane,Defender,,England,21/04/2000,
Matt Doherty,Defender,182cm,Ireland,16/01/1992,80
Philippe Coutinho,Midfielder,172cm,Brazil,12/06/1992,68
Mbaye Diagne,Forward,191cm,Senegal,28/10/1991,
Kevin De Bruyne,Midfielder,181cm,Belgium,28/06/1991,68
Robin Koch,Defender,192cm,Germany,17/07/1996,85
Sokratis Papastathopoulos,Defender,186cm,Greece,09/06/1988,
Lucas Perri,Goalkeeper,194cm,Brazil,10/12/1997,
Michael Carrick,Midfielder,188cm,England,28/07/1981,
Robbie Brady,Midfielder,176cm,Ireland,14/01/1992,
Sebastian PrÃ¶dl,Defender,194cm,Austria,21/06/1987,
Abdallah Sima,Forward,,Senegal,17/06/2001,
Brandon Mason,Defender,173cm,England,30/09/1997,
Maxwell Haygarth,Midfielder,,England,21/01/2002,
Oliver Norwood,Midfielder,180cm,Northern Ireland,12/04/1991,
Teemu Pukki,Forward,180cm,Finland,29/03/1990,75
Arnaut Danjuma,Forward,178cm,Netherlands,31/01/1997,
Kyle Taylor,Midfielder,,England,26/05/1999,
Alfie Mawson,Defender,189cm,England,19/01/1994,
Charly Musonda,Midfielder,173cm,Belgium,15/10/1996,
Kyle Walker,Defender,178cm,England,28/05/1990,70
Juan Familia-Castillo,Defender,,Netherlands,13/01/2000,
Oumar Niasse,Forward,182cm,Senegal,18/04/1990,
Felix Passlack,Defender,170cm,Germany,29/05/1998,
Michael Hefele,Defender,192cm,Germany,01/09/1990,
Karlo Ziger,Goalkeeper,,Croatia,11/05/2001,
Christian Eriksen,Midfielder,182cm,Denmark,14/02/1992,76
Rohan Ince,Midfielder,191cm,England,08/11/1992,
Kornelius Normann Hansen,Midfielder,175cm,Norway,06/05/2001,
Isaac Mbenza,Forward,187cm,Belgium,08/03/1996,
Robbie Gotts,Midfielder,,England,09/11/1999,
Mario Pasalic,Midfielder,188cm,Croatia,09/02/1995,
Tom Dele-Bashiru,Midfielder,183cm,Nigeria,17/09/1999,
Joseph Gomez,Defender,188cm,England,23/05/1997,77
Conor Coventry,Midfielder,177cm,Ireland,25/03/2000,
Adam Idah,Forward,190cm,Ireland,11/02/2001,83
Mads Bidstrup,Midfielder,175cm,Denmark,25/02/2001,
Jake Flannigan,Midfielder,180cm,England,02/02/1996,
Ashley Barnes,Forward,186cm,England,30/10/1989,77
Marcel Lavinier,Midfielder,180cm,Portugal,16/12/2000,
Bayli Spencer-Adams,Defender,,England,26/06/2001,
Sam Hughes,Defender,,England,15/04/1997,
Federico FernÃ¡ndez,Defender,190cm,Argentina,21/02/1989,83
Liam Feeney,Midfielder,183cm,England,28/04/1986,
James Maddison,Midfielder,175cm,England,23/11/1996,73
Vincent Kompany,Defender,193cm,Belgium,10/04/1986,
Jamie Soule,Forward,,England,26/11/2000,
Richard Nartey,Defender,184cm,England,06/09/1998,
Robert Street,Forward,,England,26/09/2001,
Jake Walker,Defender,,England,03/11/2000,
Pablo MarÃ­,Defender,193cm,Spain,31/08/1993,
Marco Stiepermann,Forward,190cm,Germany,09/02/1991,
Matthew Pollock,Defender,,England,28/09/2001,
Elias Kachunga,Forward,178cm,DR Congo,22/04/1992,
Cengiz Ãœnder,Forward,173cm,Turkey,14/07/1997,
Dominic Revan,Defender,,England,19/09/2000,
Ivan Cavaleiro,Forward,175cm,Portugal,18/10/1993,
Kortney Hause,Midfielder,191cm,England,16/07/1995,77
Armstrong Oko-Flex,Forward,,Ireland,02/03/2002,
Stefan Johansen,Midfielder,182cm,Norway,08/01/1991,
Joachim Andersen,Defender,192cm,Denmark,31/05/1996,90
RÃºnar RÃºnarsson,Goalkeeper,186cm,Iceland,18/02/1995,
Joel Matip,Defender,195cm,Cameroon,08/08/1991,90
Christian Marques,Defender,187cm,Portugal,15/01/2003,
Kristoffer Ajer,Defender,196cm,Norway,17/04/1998,84
Liam Gibbs,Midfielder,,England,16/12/2002,
David Silva,Midfielder,173cm,Spain,08/01/1986,
Junior Firpo,Defender,184cm,Spain,22/08/1996,78
Crysencio Summerville,Midfielder,174cm,Netherlands,30/10/2001,
Daley Blind,Defender,180cm,Netherlands,09/03/1990,
Pierre-Emile HÃ¸jbjerg,Midfielder,187cm,Denmark,05/08/1995,84
Paul Glatzel,Midfielder,,England,20/02/2001,
Emmanuel Longelo,Forward,,England,27/12/2000,
Kasey Palmer,Midfielder,175cm,Jamaica,09/11/1996,
Costel Pantilimon,Goalkeeper,203cm,Romania,01/02/1987,
Bruno GuimarÃ£es,Midfielder,182cm,Brazil,16/11/1997,74
Abu Kamara,Defender,,England,,
Folarin Balogun,Forward,178cm,England,03/07/2001,
Oliwier Zych,Goalkeeper,,Poland,28/06/2004,
Wayne Hennessey,Goalkeeper,198cm,Wales,24/01/1987,90
Oleksandr Zinchenko,Midfielder,175cm,Ukraine,15/12/1996,64
Leandro Trossard,Forward,171cm,Belgium,04/12/1994,61
Tolaji Bola,Defender,188cm,England,04/01/1999,
