name,position,country,height,date_of_birth,season,club_name
Brandon Pierrick,Forward,England,182cm,10/12/2001,2020/2021,Crystal Palace
Brandon Pierrick,Forward,England,182cm,10/12/2001,2019/2020,Crystal Palace
Flávio Cristóvão,Defender,Portugal,185cm,23/05/1997,2019/2020,Wolverhampton Wanderers
Tudor Baluta,Defender,Romania,192cm,27/03/1999,2021/2022,Brighton and Hove Albion
Tudor Baluta,Defender,Romania,192cm,27/03/1999,2019/2020,Brighton and Hove Albion
Tudor Baluta,Defender,Romania,192cm,27/03/1999,2019/2020,Brighton and Hove Albion (Loan)
Tudor Baluta,Defender,Romania,192cm,27/03/1999,2018/2019,Brighton and Hove Albion (Loan)
Jaime Alvarado,Midfielder,Colombia,179cm,26/07/1999,2021/2022,Watford
Terence Kongolo,Defender,Netherlands,188cm,14/02/1994,2020/2021,Fulham
Terence Kongolo,Defender,Netherlands,188cm,14/02/1994,2018/2019,Huddersfield Town
Terence Kongolo,Defender,Netherlands,188cm,14/02/1994,2018/2019,Huddersfield Town (Loan)
Calum Chambers,Defender,England,182cm,20/01/1995,2021/2022,Aston Villa
Calum Chambers,Defender,England,182cm,20/01/1995,2021/2022,Arsenal
Calum Chambers,Defender,England,182cm,20/01/1995,2020/2021,Arsenal
Calum Chambers,Defender,England,182cm,20/01/1995,2019/2020,Arsenal
Calum Chambers,Defender,England,182cm,20/01/1995,2018/2019,Fulham (Loan)
Calum Chambers,Defender,England,182cm,20/01/1995,2018/2019,Arsenal
Bruno Jordão,Midfielder,Portugal,180cm,12/10/1998,2021/2022,Wolverhampton Wanderers
Bruno Jordão,Midfielder,Portugal,180cm,12/10/1998,2020/2021,Wolverhampton Wanderers
Bruno Jordão,Midfielder,Portugal,180cm,12/10/1998,2019/2020,Wolverhampton Wanderers
Josh Brownhill,Midfielder,England,180cm,19/12/1995,2021/2022,Burnley
Josh Brownhill,Midfielder,England,180cm,19/12/1995,2020/2021,Burnley
Josh Brownhill,Midfielder,England,180cm,19/12/1995,2019/2020,Burnley
Rúnar Rúnarsson,Goalkeeper,Iceland,186cm,18/02/1995,2021/2022,Arsenal
Rúnar Rúnarsson,Goalkeeper,Iceland,186cm,18/02/1995,2020/2021,Arsenal
Vitalii Mykolenko,Defender,Ukraine,180cm,29/05/1999,2021/2022,Everton
Timo Werner,Forward,Germany,180cm,06/03/1996,2021/2022,Chelsea
Timo Werner,Forward,Germany,180cm,06/03/1996,2020/2021,Chelsea
Patrick Roberts,Midfielder,England,168cm,05/02/1997,2021/2022,Manchester City
Patrick Roberts,Midfielder,England,168cm,05/02/1997,2021/2022,Manchester City
Patrick Roberts,Midfielder,England,168cm,05/02/1997,2019/2020,Norwich City (Loan)
Patrick Roberts,Midfielder,England,168cm,05/02/1997,2019/2020,Manchester City
Patrick Roberts,Midfielder,England,168cm,05/02/1997,2018/2019,Manchester City
Luke Shaw,Defender,England,185cm,12/07/1995,2021/2022,Manchester United
Luke Shaw,Defender,England,185cm,12/07/1995,2020/2021,Manchester United
Luke Shaw,Defender,England,185cm,12/07/1995,2019/2020,Manchester United
Luke Shaw,Defender,England,185cm,12/07/1995,2018/2019,Manchester United
Kurt Zouma,Defender,France,190cm,27/10/1994,2021/2022,West Ham United
Kurt Zouma,Defender,France,190cm,27/10/1994,2021/2022,Chelsea
Kurt Zouma,Defender,France,190cm,27/10/1994,2020/2021,Chelsea
Kurt Zouma,Defender,France,190cm,27/10/1994,2019/2020,Everton (Loan)
Kurt Zouma,Defender,France,190cm,27/10/1994,2019/2020,Chelsea
Kurt Zouma,Defender,France,190cm,27/10/1994,2018/2019,Everton (Loan)
Kurt Zouma,Defender,France,190cm,27/10/1994,2018/2019,Chelsea
John Egan,Defender,Ireland,185cm,20/10/1992,2020/2021,Sheffield United
John Egan,Defender,Ireland,185cm,20/10/1992,2019/2020,Sheffield United
Ricky Holmes,Midfielder,England,173cm,19/06/1987,2019/2020,Sheffield United
Jesurun Rak-Sakyi,Midfielder,England,,05/10/2002,2021/2022,Crystal Palace
Jesurun Rak-Sakyi,Midfielder,England,,05/10/2002,2021/2022,Crystal Palace
Jesurun Rak-Sakyi,Midfielder,England,,05/10/2002,2020/2021,Crystal Palace
Jeff Reine-Adélaïde,Midfielder,France,183cm,17/01/1998,2018/2019,Arsenal
Vincent Kompany,Defender,Belgium,193cm,10/04/1986,2019/2020,Manchester City
Vincent Kompany,Defender,Belgium,193cm,10/04/1986,2018/2019,Manchester City
Kgaogelo Chauke,Midfielder,England,,08/01/2003,2021/2022,Southampton
Kgaogelo Chauke,Midfielder,England,,08/01/2003,2021/2022,Southampton
Kgaogelo Chauke,Midfielder,England,,08/01/2003,2020/2021,Southampton
Ali Koiki,Defender,England,,22/08/1999,2020/2021,Burnley
Ali Koiki,Defender,England,,22/08/1999,2019/2020,Burnley
Ali Koiki,Defender,England,,22/08/1999,2018/2019,Burnley
Harry McKirdy,Forward,England,175cm,29/03/1997,2019/2020,Aston Villa
Ralf Fährmann,Goalkeeper,Germany,197cm,27/09/1988,2019/2020,Norwich City (Loan)
Emerson Hyndman,Midfielder,United States,170cm,09/04/1996,2018/2019,AFC Bournemouth
James Bree,Defender,England,172cm,11/12/1997,2019/2020,Aston Villa
Orestis Karnezis,Goalkeeper,Greece,189cm,11/07/1985,2018/2019,Watford (Loan)
Armand Traore,Defender,Senegal,185cm,08/10/1989,2018/2019,Cardiff City (Loan)
Ross Barkley,Midfielder,England,189cm,05/12/1993,2021/2022,Aston Villa (Loan)
Ross Barkley,Midfielder,England,189cm,05/12/1993,2021/2022,Chelsea
Ross Barkley,Midfielder,England,189cm,05/12/1993,2021/2022,Chelsea
Ross Barkley,Midfielder,England,189cm,05/12/1993,2020/2021,Aston Villa (Loan)
Ross Barkley,Midfielder,England,189cm,05/12/1993,2020/2021,Chelsea
Ross Barkley,Midfielder,England,189cm,05/12/1993,2019/2020,Chelsea
Ross Barkley,Midfielder,England,189cm,05/12/1993,2018/2019,Chelsea
Hugo Bueno,Defender,Spain,180cm,18/09/2002,2020/2021,Wolverhampton Wanderers
Michael Carrick,Midfielder,England,188cm,28/07/1981,2018/2019,Manchester United
Florent Hadergjonaj,Defender,Kosovo,182cm,31/07/1994,2018/2019,Huddersfield Town
Florent Hadergjonaj,Defender,Kosovo,182cm,31/07/1994,2018/2019,Huddersfield Town (Loan)
Carl Ikeme,Goalkeeper,Nigeria,188cm,08/06/1986,2018/2019,Wolverhampton Wanderers
Adam Leathers,Midfielder,England,,14/11/2001,2019/2020,Leicester City
Georges-Kévin Nkoudou,Midfielder,France,172cm,13/02/1995,2019/2020,Tottenham Hotspur
Georges-Kévin Nkoudou,Midfielder,France,172cm,13/02/1995,2018/2019,Burnley (Loan)
Georges-Kévin Nkoudou,Midfielder,France,172cm,13/02/1995,2018/2019,Tottenham Hotspur
Martin Dúbravka,Goalkeeper,Slovakia,190cm,15/01/1989,2021/2022,Newcastle United
Martin Dúbravka,Goalkeeper,Slovakia,190cm,15/01/1989,2020/2021,Newcastle United
Martin Dúbravka,Goalkeeper,Slovakia,190cm,15/01/1989,2019/2020,Newcastle United
Martin Dúbravka,Goalkeeper,Slovakia,190cm,15/01/1989,2018/2019,Newcastle United
Ethan Fitzhugh,Midfielder,England,,27/11/2002,2021/2022,Leicester City
Ethan Fitzhugh,Midfielder,England,,27/11/2002,2020/2021,Leicester City
Ethan Fitzhugh,Midfielder,England,,27/11/2002,2020/2021,Leicester City
Ethan Fitzhugh,Midfielder,England,,27/11/2002,2019/2020,Leicester City
Xavi Quintillá,Defender,Spain,183cm,23/08/1996,2021/2022,Norwich City (Loan)
Karl Darlow,Goalkeeper,England,190cm,08/10/1990,2021/2022,Newcastle United
Karl Darlow,Goalkeeper,England,190cm,08/10/1990,2020/2021,Newcastle United
Karl Darlow,Goalkeeper,England,190cm,08/10/1990,2019/2020,Newcastle United
Karl Darlow,Goalkeeper,England,190cm,08/10/1990,2018/2019,Newcastle United
Yaya Touré,Midfielder,Cote D’Ivoire,188cm,13/05/1983,2018/2019,Manchester City
Fabian Schär,Defender,Switzerland,188cm,20/12/1991,2021/2022,Newcastle United
Fabian Schär,Defender,Switzerland,188cm,20/12/1991,2020/2021,Newcastle United
Fabian Schär,Defender,Switzerland,188cm,20/12/1991,2019/2020,Newcastle United
Fabian Schär,Defender,Switzerland,188cm,20/12/1991,2018/2019,Newcastle United
Kayky,Forward,Brazil,175cm,11/06/2003,2021/2022,Manchester City
Frankie Ealing,Defender,England,,14/07/2004,2021/2022,Aston Villa
Frankie Ealing,Defender,England,,14/07/2004,2020/2021,Aston Villa
Rhoys Wiggins,Defender,Wales,173cm,04/11/1987,2018/2019,AFC Bournemouth
Marek Rodák,Goalkeeper,Slovakia,194cm,13/12/1996,2020/2021,Fulham
Marek Rodák,Goalkeeper,Slovakia,194cm,13/12/1996,2018/2019,Fulham
Dane Scarlett,Forward,England,180cm,24/03/2004,2021/2022,Tottenham Hotspur
Dane Scarlett,Forward,England,180cm,24/03/2004,2021/2022,Tottenham Hotspur
Dane Scarlett,Forward,England,180cm,24/03/2004,2021/2022,Tottenham Hotspur
Dane Scarlett,Forward,England,180cm,24/03/2004,2020/2021,Tottenham Hotspur
Dane Scarlett,Forward,England,180cm,24/03/2004,2020/2021,Tottenham Hotspur
Juraj Kucka,Midfielder,Slovakia,186cm,26/02/1987,2021/2022,Watford
Reece Oxford,Defender,England,193cm,16/12/1998,2019/2020,West Ham United
Reece Oxford,Defender,England,193cm,16/12/1998,2018/2019,West Ham United
Oscar Bobb,Midfielder,Norway,,12/07/2003,2021/2022,Manchester City
Bernardo,Defender,Brazil,186cm,14/05/1995,2021/2022,Brighton and Hove Albion
Bernardo,Defender,Brazil,186cm,14/05/1995,2020/2021,Brighton and Hove Albion
Bernardo,Defender,Brazil,186cm,14/05/1995,2019/2020,Brighton and Hove Albion
Bernardo,Defender,Brazil,186cm,14/05/1995,2018/2019,Brighton and Hove Albion
Neil Etheridge,Goalkeeper,Philippines,188cm,07/02/1990,2018/2019,Cardiff City
Branislav Ivanovic,Defender,Serbia,185cm,22/02/1984,2020/2021,West Bromwich Albion
Reece Welch,Defender,England,,19/09/2003,2021/2022,Everton
Reece Welch,Defender,England,,19/09/2003,2021/2022,Everton
Reece Welch,Defender,England,,19/09/2003,2020/2021,Everton
Owen Bailey,Defender,England,,22/01/1999,2019/2020,Newcastle United U21
Christian Kabasele,Defender,Belgium,187cm,24/02/1991,2021/2022,Watford
Christian Kabasele,Defender,Belgium,187cm,24/02/1991,2019/2020,Watford
Christian Kabasele,Defender,Belgium,187cm,24/02/1991,2018/2019,Watford
William Dennis,Goalkeeper,England,,10/07/2000,2019/2020,AFC Bournemouth
Prince Alban Oniangué,Midfielder,Congo,190cm,04/11/1988,2018/2019,Wolverhampton Wanderers
Mathias Jensen,Midfielder,Denmark,180cm,01/01/1996,2021/2022,Brentford
Fabio Carvalho,Midfielder,Portugal,,30/08/2002,2020/2021,Fulham U21
Tiemoué Bakayoko,Midfielder,France,185cm,17/08/1994,2021/2022,Chelsea
Tiemoué Bakayoko,Midfielder,France,185cm,17/08/1994,2020/2021,Chelsea
Tiemoué Bakayoko,Midfielder,France,185cm,17/08/1994,2019/2020,Chelsea
Tiemoué Bakayoko,Midfielder,France,185cm,17/08/1994,2018/2019,Chelsea
Harrison Reed,Midfielder,England,181cm,27/01/1995,2020/2021,Fulham
Harrison Reed,Midfielder,England,181cm,27/01/1995,2020/2021,Fulham (Loan)
Harrison Reed,Midfielder,England,181cm,27/01/1995,2019/2020,Southampton
Harrison Reed,Midfielder,England,181cm,27/01/1995,2018/2019,Southampton
Willian José,Forward,Brazil,189cm,23/11/1991,2021/2022,Wolverhampton Wanderers (Loan)
Willian José,Forward,Brazil,189cm,23/11/1991,2020/2021,Wolverhampton Wanderers (Loan)
Billy Koumetio,Defender,France,,14/11/2002,2021/2022,Liverpool
Billy Koumetio,Defender,France,,14/11/2002,2021/2022,Liverpool
Billy Koumetio,Defender,France,,14/11/2002,2020/2021,Liverpool
Billy Koumetio,Defender,France,,14/11/2002,2020/2021,Liverpool
Billy Koumetio,Defender,France,,14/11/2002,2019/2020,Liverpool
Nélson Semedo,Defender,Portugal,177cm,16/11/1993,2021/2022,Wolverhampton Wanderers
Nélson Semedo,Defender,Portugal,177cm,16/11/1993,2020/2021,Wolverhampton Wanderers
Demeaco Duhaney,Defender,England,180cm,13/10/1998,2018/2019,Huddersfield Town
Jack O'Connell,Defender,England,190cm,29/03/1994,2020/2021,Sheffield United
Jack O'Connell,Defender,England,190cm,29/03/1994,2019/2020,Sheffield United
Scott Malone,Defender,England,189cm,25/03/1991,2018/2019,Huddersfield Town
Leonardo Campana,Forward,Ecuador,187cm,24/07/2000,2021/2022,Wolverhampton Wanderers
Leonardo Campana,Forward,Ecuador,187cm,24/07/2000,2020/2021,Wolverhampton Wanderers
Leonardo Campana,Forward,Ecuador,187cm,24/07/2000,2020/2021,Wolverhampton Wanderers
Leonardo Campana,Forward,Ecuador,187cm,24/07/2000,2019/2020,Wolverhampton Wanderers
Gonçalo Cardoso,Defender,Portugal,189cm,21/10/2000,2020/2021,West Ham United
Gonçalo Cardoso,Defender,Portugal,189cm,21/10/2000,2019/2020,West Ham United
Matthew Lowton,Defender,England,180cm,09/06/1989,2021/2022,Burnley
Matthew Lowton,Defender,England,180cm,09/06/1989,2020/2021,Burnley
Matthew Lowton,Defender,England,180cm,09/06/1989,2019/2020,Burnley
Matthew Lowton,Defender,England,180cm,09/06/1989,2018/2019,Burnley
Chem Campbell,Midfielder,Wales,,30/12/2002,2021/2022,Wolverhampton Wanderers
Chem Campbell,Midfielder,Wales,,30/12/2002,2020/2021,Wolverhampton Wanderers
Chem Campbell,Midfielder,Wales,,30/12/2002,2019/2020,Wolverhampton Wanderers
Jayden Bennetts,Midfielder,England,,26/06/2001,2019/2020,Watford
Matteo Darmian,Defender,Italy,182cm,02/12/1989,2019/2020,Manchester United
Matteo Darmian,Defender,Italy,182cm,02/12/1989,2018/2019,Manchester United
Sam Gallagher,Forward,England,194cm,15/09/1995,2019/2020,Southampton
Sam Gallagher,Forward,England,194cm,15/09/1995,2018/2019,Southampton
Rúben Dias,Defender,Portugal,186cm,14/05/1997,2021/2022,Manchester City
Rúben Dias,Defender,Portugal,186cm,14/05/1997,2020/2021,Manchester City
Thiago,Midfielder,Spain,174cm,11/04/1991,2021/2022,Liverpool
Thiago,Midfielder,Spain,174cm,11/04/1991,2020/2021,Liverpool
Josh Dasilva,Midfielder,England,184cm,23/10/1998,2021/2022,Brentford
Josh Dasilva,Midfielder,England,184cm,23/10/1998,2018/2019,Arsenal
Kortney Hause,Midfielder,England,191cm,16/07/1995,2021/2022,Aston Villa
Kortney Hause,Midfielder,England,191cm,16/07/1995,2020/2021,Aston Villa
Kortney Hause,Midfielder,England,191cm,16/07/1995,2019/2020,Aston Villa
Kortney Hause,Midfielder,England,191cm,16/07/1995,2019/2020,Aston Villa (Loan)
Kortney Hause,Midfielder,England,191cm,16/07/1995,2019/2020,Wolverhampton Wanderers
Kortney Hause,Midfielder,England,191cm,16/07/1995,2018/2019,Wolverhampton Wanderers
Tyrese Francois,Midfielder,Australia,166cm,16/07/2000,2020/2021,Fulham
Tyrese Francois,Midfielder,Australia,166cm,16/07/2000,2020/2021,Fulham
Tyrese Francois,Midfielder,Australia,166cm,16/07/2000,2018/2019,Fulham U21
James Trafford,Goalkeeper,England,,10/10/2002,2021/2022,Manchester City U21
James Trafford,Goalkeeper,England,,10/10/2002,2020/2021,Manchester City U21
Kean Bryan,Defender,England,185cm,01/11/1996,2020/2021,Sheffield United
Kean Bryan,Defender,England,185cm,01/11/1996,2019/2020,Sheffield United
Mohamed Elyounoussi,Midfielder,Norway,178cm,04/08/1994,2021/2022,Southampton
Mohamed Elyounoussi,Midfielder,Norway,178cm,04/08/1994,2019/2020,Southampton
Mohamed Elyounoussi,Midfielder,Norway,178cm,04/08/1994,2018/2019,Southampton
Ben Stevenson,Midfielder,England,183cm,23/03/1997,2018/2019,Wolverhampton Wanderers
Stephen Ward,Defender,Ireland,184cm,20/08/1985,2019/2020,Burnley
Stephen Ward,Defender,Ireland,184cm,20/08/1985,2018/2019,Burnley
Mateusz Hewelt,Goalkeeper,Poland,186cm,23/09/1996,2019/2020,Everton
Mateusz Hewelt,Goalkeeper,Poland,186cm,23/09/1996,2018/2019,Everton
Steven Bergwijn,Forward,Netherlands,178cm,08/10/1997,2021/2022,Tottenham Hotspur
Steven Bergwijn,Forward,Netherlands,178cm,08/10/1997,2020/2021,Tottenham Hotspur
Steven Bergwijn,Forward,Netherlands,178cm,08/10/1997,2019/2020,Tottenham Hotspur
Jay Rodriguez,Forward,England,185cm,29/07/1989,2021/2022,Burnley
Jay Rodriguez,Forward,England,185cm,29/07/1989,2020/2021,Burnley
Jay Rodriguez,Forward,England,185cm,29/07/1989,2019/2020,Burnley
Ondrej Duda,Midfielder,Slovakia,181cm,05/12/1994,2019/2020,Norwich City (Loan)
Jota,Midfielder,Spain,180cm,16/06/1991,2020/2021,Aston Villa
Jota,Midfielder,Spain,180cm,16/06/1991,2019/2020,Aston Villa
Rico Henry,Defender,England,170cm,08/07/1997,2021/2022,Brentford
Taylor Gardner-Hickman,Defender,England,,30/12/2001,2020/2021,West Bromwich Albion
Taylor Gardner-Hickman,Defender,England,,30/12/2001,2020/2021,West Bromwich Albion
Reece McAlear,Midfielder,Scotland,185cm,12/02/2002,2021/2022,Norwich City
Henry Wise,Midfielder,England,174cm,01/01/2000,2019/2020,Watford
Luka Milivojevic,Midfielder,Serbia,186cm,07/04/1991,2021/2022,Crystal Palace
Luka Milivojevic,Midfielder,Serbia,186cm,07/04/1991,2020/2021,Crystal Palace
Luka Milivojevic,Midfielder,Serbia,186cm,07/04/1991,2019/2020,Crystal Palace
Luka Milivojevic,Midfielder,Serbia,186cm,07/04/1991,2018/2019,Crystal Palace
Miguel Almirón,Midfielder,Paraguay,174cm,10/02/1994,2021/2022,Newcastle United
Miguel Almirón,Midfielder,Paraguay,174cm,10/02/1994,2020/2021,Newcastle United
Miguel Almirón,Midfielder,Paraguay,174cm,10/02/1994,2019/2020,Newcastle United
Miguel Almirón,Midfielder,Paraguay,174cm,10/02/1994,2018/2019,Newcastle United
Saul Shotton,Defender,England,184cm,10/11/2000,2020/2021,West Bromwich Albion
Lucas Bergström,Goalkeeper,Finland,,05/09/2002,2021/2022,Chelsea
Lucas Bergström,Goalkeeper,Finland,,05/09/2002,2021/2022,Chelsea
Robert Street,Forward,England,,26/09/2001,2021/2022,Crystal Palace
Hakim Ziyech,Midfielder,Morocco,180cm,19/03/1993,2021/2022,Chelsea
Hakim Ziyech,Midfielder,Morocco,180cm,19/03/1993,2020/2021,Chelsea
Mason Greenwood,Forward,England,181cm,01/10/2001,2021/2022,Manchester United
Mason Greenwood,Forward,England,181cm,01/10/2001,2020/2021,Manchester United
Mason Greenwood,Forward,England,181cm,01/10/2001,2020/2021,Manchester United
Mason Greenwood,Forward,England,181cm,01/10/2001,2019/2020,Manchester United
Mason Greenwood,Forward,England,181cm,01/10/2001,2018/2019,Manchester United
Connor Mahoney,Midfielder,England,175cm,12/02/1997,2019/2020,AFC Bournemouth
Connor Mahoney,Midfielder,England,175cm,12/02/1997,2018/2019,AFC Bournemouth
Jaden Philogene-Bidace,Midfielder,England,,08/02/2002,2021/2022,Aston Villa
Jaden Philogene-Bidace,Midfielder,England,,08/02/2002,2021/2022,Aston Villa
Jaden Philogene-Bidace,Midfielder,England,,08/02/2002,2020/2021,Aston Villa
Sam Field,Midfielder,England,191cm,08/05/1998,2020/2021,West Bromwich Albion
Emmanuel Dennis,Forward,Nigeria,175cm,15/11/1997,2021/2022,Watford
Will Hughes,Midfielder,England,185cm,17/04/1995,2021/2022,Crystal Palace
Will Hughes,Midfielder,England,185cm,17/04/1995,2021/2022,Watford
Will Hughes,Midfielder,England,185cm,17/04/1995,2019/2020,Watford
Will Hughes,Midfielder,England,185cm,17/04/1995,2018/2019,Watford
Will Norris,Goalkeeper,England,195cm,12/08/1993,2021/2022,Burnley
Will Norris,Goalkeeper,England,195cm,12/08/1993,2020/2021,Burnley
Will Norris,Goalkeeper,England,195cm,12/08/1993,2019/2020,Wolverhampton Wanderers
Will Norris,Goalkeeper,England,195cm,12/08/1993,2018/2019,Wolverhampton Wanderers
Ian Poveda-Ocampo,Forward,England,165cm,09/02/2000,2021/2022,Leeds United
Ian Poveda-Ocampo,Forward,England,165cm,09/02/2000,2020/2021,Leeds United
Ian Poveda-Ocampo,Forward,England,165cm,09/02/2000,2019/2020,Manchester City
Ian Poveda-Ocampo,Forward,England,165cm,09/02/2000,2018/2019,Manchester City
Philip Zinckernagel,Forward,Denmark,175cm,16/12/1994,2021/2022,Watford
Viktor Johansson,Goalkeeper,Sweden,186cm,14/09/1998,2019/2020,Leicester City
Marcelo Flores,Midfielder,Mexico,,01/10/2003,2021/2022,Arsenal
Fikayo Tomori,Defender,England,185cm,19/12/1997,2021/2022,Chelsea
Fikayo Tomori,Defender,England,185cm,19/12/1997,2020/2021,Chelsea
Fikayo Tomori,Defender,England,185cm,19/12/1997,2019/2020,Chelsea
Fikayo Tomori,Defender,England,185cm,19/12/1997,2018/2019,Chelsea
Erik Durm,Defender,Germany,182cm,12/05/1992,2018/2019,Huddersfield Town
Romain Saïss,Midfielder,Morocco,190cm,26/03/1990,2021/2022,Wolverhampton Wanderers
Romain Saïss,Midfielder,Morocco,190cm,26/03/1990,2020/2021,Wolverhampton Wanderers
Romain Saïss,Midfielder,Morocco,190cm,26/03/1990,2019/2020,Wolverhampton Wanderers
Romain Saïss,Midfielder,Morocco,190cm,26/03/1990,2018/2019,Wolverhampton Wanderers
Malachi Fagan-Walcott,Defender,England,,11/03/2002,2021/2022,Tottenham Hotspur
Malachi Fagan-Walcott,Defender,England,,11/03/2002,2021/2022,Tottenham Hotspur
Malachi Fagan-Walcott,Defender,England,,11/03/2002,2020/2021,Tottenham Hotspur
Malachi Fagan-Walcott,Defender,England,,11/03/2002,2019/2020,Tottenham Hotspur
Younes Kaboul,Defender,France,193cm,04/01/1986,2019/2020,Watford
Younes Kaboul,Defender,France,193cm,04/01/1986,2018/2019,Watford
Jadon Sancho,Forward,England,180cm,25/03/2000,2021/2022,Manchester United
William Troost-Ekong,Defender,Nigeria,191cm,01/09/1993,2021/2022,Watford
Hayden Lindley,Midfielder,England,,02/09/2002,2021/2022,Aston Villa U21
Hayden Lindley,Midfielder,England,,02/09/2002,2021/2022,Aston Villa
Hayden Lindley,Midfielder,England,,02/09/2002,2020/2021,Aston Villa U21
Bukayo Saka,Midfielder,England,178cm,05/09/2001,2021/2022,Arsenal
Bukayo Saka,Midfielder,England,178cm,05/09/2001,2020/2021,Arsenal
Bukayo Saka,Midfielder,England,178cm,05/09/2001,2019/2020,Arsenal
Bukayo Saka,Midfielder,England,178cm,05/09/2001,2018/2019,Arsenal
Tanguy Ndombele,Midfielder,France,181cm,28/12/1996,2021/2022,Tottenham Hotspur
Tanguy Ndombele,Midfielder,France,181cm,28/12/1996,2020/2021,Tottenham Hotspur
Tanguy Ndombele,Midfielder,France,181cm,28/12/1996,2019/2020,Tottenham Hotspur
James Tarkowski,Defender,England,185cm,19/11/1992,2021/2022,Burnley
James Tarkowski,Defender,England,185cm,19/11/1992,2020/2021,Burnley
James Tarkowski,Defender,England,185cm,19/11/1992,2019/2020,Burnley
James Tarkowski,Defender,England,185cm,19/11/1992,2018/2019,Burnley
Terell Pennant,Midfielder,England,,14/09/2002,2019/2020,Leicester City
Victor Wanyama,Midfielder,Kenya,188cm,25/06/1991,2019/2020,Tottenham Hotspur
Victor Wanyama,Midfielder,Kenya,188cm,25/06/1991,2018/2019,Tottenham Hotspur
Loris Karius,Goalkeeper,Germany,189cm,22/06/1993,2021/2022,Liverpool
Loris Karius,Goalkeeper,Germany,189cm,22/06/1993,2020/2021,Liverpool
Loris Karius,Goalkeeper,Germany,189cm,22/06/1993,2019/2020,Liverpool
Loris Karius,Goalkeeper,Germany,189cm,22/06/1993,2018/2019,Liverpool
Des Hutchinson,Midfielder,Ireland,,05/12/1996,2018/2019,Brighton & Hove Albion
Marouane Fellaini,Midfielder,Belgium,194cm,22/11/1987,2019/2020,Manchester United
Marouane Fellaini,Midfielder,Belgium,194cm,22/11/1987,2018/2019,Manchester United
Rabbi Matondo,Forward,Wales,175cm,09/09/2000,2018/2019,Manchester City
Craig Dawson,Defender,England,188cm,06/05/1990,2021/2022,West Ham United
Craig Dawson,Defender,England,188cm,06/05/1990,2021/2022,West Ham United (Loan)
Craig Dawson,Defender,England,188cm,06/05/1990,2021/2022,Watford
Craig Dawson,Defender,England,188cm,06/05/1990,2020/2021,West Ham United (Loan)
Craig Dawson,Defender,England,188cm,06/05/1990,2019/2020,Watford
Beni Baningime,Midfielder,DR Congo,178cm,09/09/1998,2021/2022,Everton
Beni Baningime,Midfielder,DR Congo,178cm,09/09/1998,2020/2021,Everton
Beni Baningime,Midfielder,DR Congo,178cm,09/09/1998,2019/2020,Everton
Beni Baningime,Midfielder,DR Congo,178cm,09/09/1998,2018/2019,Everton
Arjan Raikhy,Midfielder,England,,20/10/2002,2021/2022,Aston Villa
Arjan Raikhy,Midfielder,England,,20/10/2002,2020/2021,Aston Villa
Jake Clarke-Salter,Defender,England,188cm,22/09/1997,2021/2022,Chelsea
Takehiro Tomiyasu,Defender,Japan,188cm,05/11/1998,2021/2022,Arsenal
Robert Elliot,Goalkeeper,Ireland,190cm,30/04/1986,2021/2022,Watford
Robert Elliot,Goalkeeper,Ireland,190cm,30/04/1986,2019/2020,Newcastle United
Robert Elliot,Goalkeeper,Ireland,190cm,30/04/1986,2018/2019,Newcastle United
Rúben Neves,Midfielder,Portugal,180cm,13/03/1997,2021/2022,Wolverhampton Wanderers
Rúben Neves,Midfielder,Portugal,180cm,13/03/1997,2020/2021,Wolverhampton Wanderers
Rúben Neves,Midfielder,Portugal,180cm,13/03/1997,2019/2020,Wolverhampton Wanderers
Rúben Neves,Midfielder,Portugal,180cm,13/03/1997,2018/2019,Wolverhampton Wanderers
Steve Cook,Defender,England,185cm,19/04/1991,2019/2020,AFC Bournemouth
Steve Cook,Defender,England,185cm,19/04/1991,2018/2019,AFC Bournemouth
Gerard Deulofeu,Forward,Spain,177cm,13/03/1994,2019/2020,Watford
Gerard Deulofeu,Forward,Spain,177cm,13/03/1994,2018/2019,Watford
Gerard Deulofeu,Forward,Spain,177cm,13/03/1994,2018/2019,Watford (Loan)
Aymeric Laporte,Defender,Spain,191cm,27/05/1994,2021/2022,Manchester City
Aymeric Laporte,Defender,Spain,191cm,27/05/1994,2020/2021,Manchester City
Aymeric Laporte,Defender,Spain,191cm,27/05/1994,2019/2020,Manchester City
Aymeric Laporte,Defender,Spain,191cm,27/05/1994,2018/2019,Manchester City
Wes Foderingham,Goalkeeper,England,185cm,14/01/1991,2020/2021,Sheffield United
Ahmed Hegazi,Defender,Egypt,193cm,25/01/1991,2020/2021,West Bromwich Albion
Leo Østigård,Defender,Norway,182cm,28/11/1999,2021/2022,Brighton and Hove Albion
Leo Østigård,Defender,Norway,182cm,28/11/1999,2019/2020,Brighton and Hove Albion
Leo Østigård,Defender,Norway,182cm,28/11/1999,2018/2019,Brighton and Hove Albion
Nathaniel Mendez-Laing,Midfielder,England,180cm,15/04/1992,2018/2019,Cardiff City
Jordy Clasie,Midfielder,Netherlands,169cm,27/06/1991,2019/2020,Southampton
Joshua Sargent,Forward,United States,185cm,20/02/2000,2021/2022,Norwich City
Mackenzie Hunt,Midfielder,England,,14/11/2001,2021/2022,Everton
Nabili Zoubdi Touaizi,Forward,Morocco,,01/02/2001,2019/2020,Manchester City U21
